Nº Borough;Borough;Población ;2020-1;2020-2;2020-3;2020-4;2020-5;2020-6;2020-7;2020-8;2020-9;2020-10;2020-11;2020-12;2021-1;2021-2;2021-3
1;Ciutat Vella;7,62;9,04;9,09;9,13;9,39;9,47;9,59;9,67;9,74;9,95;10,23;10,34;10,37;10,44;10,5;10,54
2;Eixample;14,15;11,23;11,14;11,16;11,28;11,44;11,47;11,44;11,5;11,44;11,52;11,56;11,42;11,45;11,38;11,35
3;Sants-Montjuïc  ;14,01;14,06;14,15;13,86;14,11;14,15;14,2;14,35;14,31;14,36;14,4;14,32;14,2;14,29;14,29;14,31
4;Les Corts;4,56;3,91;3,94;3,78;3,82;3,84;3,8;3,82;3,83;3,84;3,77;3,76;3,74;3,75;3,75;3,74
5;Sarrià-Sant Gervasi  ;8,55;4,96;4,92;4,78;4,86;4,85;4,82;4,93;4,84;4,9;4,82;4,87;4,84;4,81;4,81;4,79
6;Gràcia  ;7,44;6,67;6,56;6,59;6,7;6,71;6,73;6,8;6,73;6,69;6,63;6,59;6,53;6,46;6,42;6,4
7;Horta - Guinardó  ;10,18;10,9;10,77;10,63;10,63;10,69;10,62;10,67;10,54;10,67;10,6;10,49;10,48;10,56;10,57;10,54
8;Nou Barris  ;10,11;13,73;13,68;13,19;13,13;13,08;13,24;13,18;13;13,13;13,29;13,31;13,13;13,23;13,31;13,39
9;Sant Andreu  ;8,91;10,07;10,02;10,01;9,78;9,68;9,59;9,64;9,63;9,65;9,65;9,55;9,42;9,45;9,46;9,46
10;Sant Martí  ;14,47;16,01;15,92;15,82;15,59;15,39;15,39;15,58;15,45;15,56;15,41;15,42;15,24;15,27;15,32;15,32
