NºBorough;Borough;Nº Neighbourhood;Neighbourhood;Population;
1;Ciutat Vella;1;El Raval;47353;
1;Ciutat Vella;2;Barrio Gótico;18629;
1;Ciutat Vella;3;La Barceloneta;14857;
1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;22590;
2;Eixample;5;El Fort Pienc;32349;
2;Eixample;6;Sagrada Familia;51385;
2;Eixample;7;La Derecha del Ensanche;43515;
2;Eixample;8;L'Antiga Esquerra de l'Eixample;42393;
2;Eixample;9;La Nova Esquerra de l'Eixample;58032;
2;Eixample;10;Sant Antoni;38236;
3;Sants-Montjuïc;11;Poble Sec;39995;
3;Sants-Montjuïc;12;La Marina del Prat Vermell;1196;
3;Sants-Montjuïc;13;La Marina de Port;30958;
3;Sants-Montjuïc;14;La Font de la Guatlla;10265;
3;Sants-Montjuïc;15;Hostafrancs;16014;
3;Sants-Montjuïc;16;La Bordeta;19346;
3;Sants-Montjuïc;17;Sants-Badal;24312;
3;Sants-Montjuïc;18;Sants;42005;
4;Les Corts;19;Les Corts;46274;
4;Les Corts;20;La Maternitat i Sant Ramon;23836;
4;Les Corts;21;Pedralbes;11864;
5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;4698;
5;Sarrià-Sant Gervasi;23;Sarrià;24901;
5;Sarrià-Sant Gervasi;24;Las Tres Torres;16591;
5;Sarrià-Sant Gervasi;25;Sant Gervasi-Bonanova;25919;
5;Sarrià-Sant Gervasi;26;Sant Gervasi-Galvany;47588;
5;Sarrià-Sant Gervasi;27;El Putxet i Farró;29563;
6;Gràcia;28;Vallcarca i els Penitents;15979;
6;Gràcia;29;El Coll;7459;
6;Gràcia;30;La Salut;13347;
6;Gràcia;31;Vila de Gràcia;50102;
6;Gràcia;32;Camp d'en Grassot i Gràcia Nova;34911;
7;Horta - Guinardó;33;Baix Guinardó;25823;
7;Horta - Guinardó;34;Can Baró;9198;
7;Horta - Guinardó;35;El Guinardó;37047;
7;Horta - Guinardó;36;La Font d'en Fargues;9481;
7;Horta - Guinardó;37;El Carmelo;32044;
7;Horta - Guinardó;38;La Teixonera;11735;
7;Horta - Guinardó;39;Sant Genís dels Agudells;7241;
7;Horta - Guinardó;40;Montbau;5109;
7;Horta - Guinardó;41;La Vall d'Hebrón;5794;
7;Horta - Guinardó;42;La Clota;683;
7;Horta - Guinardó;43;Horta;27340;
8;Nou Barris;44;Vilapicina i La Torre Llobeta;25805;
8;Nou Barris;45;Porta;26446;
8;Nou Barris;46;Turó de la Peira;15710;
8;Nou Barris;47;Can Peguera;2288;
8;Nou Barris;48;La Guineueta;15361;
8;Nou Barris;49;Canyelles;6879;
8;Nou Barris;50;Les Roquetes;16156;
8;Nou Barris;51;Verdún;12531;
8;Nou Barris;52;La Prosperitat;26785;
8;Nou Barris;53;La Trinitat Nova;7591;
8;Nou Barris;54;Torre Baró;2914;
8;Nou Barris;55;Ciudad Meridiana;10798;
8;Nou Barris;56;Vallbona;1405;
9;Sant Andreu;57;La Trinitat Vella;10285;
9;Sant Andreu;58;Baró de Viver;2597;
9;Sant Andreu;59;El Buen Pastor;13084;
9;Sant Andreu;60;San Andrés;57843;
9;Sant Andreu;61;La Sagrera;29353;
9;Sant Andreu;62;Congrés i els Indians;14483;
9;Sant Andreu;63;Navas;22176;
10;Sant Martí;64;El Camp de l'Arpa del Clot;38663;
10;Sant Martí;65;El Clot;27041;
10;Sant Martí;66;El Parc i la Llacuna del Poblenou;15461;
10;Sant Martí;67;La Vila Olímpica del Poblenou;9261;
10;Sant Martí;68;Poble Nou;33861;
10;Sant Martí;69;Diagonal Mar i Front Marítim del Poblenou;13501;
10;Sant Martí;70;El Besòs i el Maresme;24673;
10;Sant Martí;71;Provençals del Poblenou;21002;
10;Sant Martí;72;Sant Martí de Provençals;26061;
10;Sant Martí;73;La Verneda i la Pau;28791;
