Nº Borough;Borough;Nº Neighbourhood;Neighbourhood;Población 16-64 años;2020-1;2020-2;2020-3;2020-4;2020-5;2020-6;2020-7;2020-8;2020-9;2020-10;2020-11;2020-12;2021-1;2021-2;2021-3;;;;
0;Barcelona;0;Barcelona;1095455;6,4;6,5;7,0;7,9;8,3;8,5;8,3;8,5;8,3;8,4;8,4;8,6;8,8;8,9;8,8;;;;
1;Ciutat Vella;1;El Raval;36330;8,4;8,6;9,3;11,2;11,7;12,3;12,2;12,6;12,7;13,3;13,5;13,9;14,3;14,6;14,5;;;;
1;Ciutat Vella;2;Barrio Gótico;17931;5,1;5,3;5,7;6,5;7,0;7,1;7,0;7,2;7,1;7,5;7,6;7,8;8,0;8,1;7,9;;;;
1;Ciutat Vella;3;La Barceloneta;11346;8,8;8,9;9,6;10,7;11,5;11,8;11,5;11,9;11,7;12,0;12,0;12,3;12,7;12,9;12,9;;;;
1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;17817;7,7;7,8;8,5;9,4;10,1;10,4;10,1;10,4;10,3;10,5;10,6;10,8;11,2;11,3;11,3;;;;
2;Eixample;5;El Fort Pienc;22474;5,2;5,2;5,7;6,5;7,0;7,2;7,0;7,2;7,0;7,2;7,2;7,3;7,5;7,5;7,4;;;;
2;Eixample;6;Sagrada Familia;35008;5,5;5,5;6,0;6,8;7,2;7,4;7,2;7,4;7,2;7,3;7,4;7,4;7,5;7,6;7,5;;;;
2;Eixample;7;La Derecha del Ensanche;29535;4,3;4,4;4,7;5,4;5,9;6,1;5,9;6,1;5,9;6,1;6,1;6,2;6,4;6,4;6,3;;;;
2;Eixample;8;L'Antiga Esquerra de l'Eixample;29495;4,6;4,7;5,0;5,8;6,2;6,3;6,2;6,4;6,2;6,4;6,3;6,4;6,6;6,7;6,6;;;;
2;Eixample;9;La Nova Esquerra de l'Eixample;38490;5,6;5,6;6,0;6,8;7,1;7,3;7,1;7,3;7,1;7,1;7,2;7,3;7,5;7,5;7,4;;;;
2;Eixample;10;Sant Antoni;26125;5,9;6,0;6,4;7,4;7,8;8,0;7,9;8,1;8,0;8,0;8,0;8,1;8,3;8,3;8,2;;;;
3;Sants-Montjuïc;11;Poble Sec;28752;7,2;7,4;8,0;9,2;9,8;10,1;10,1;10,3;10,2;10,4;10,4;10,5;10,8;10,9;10,8;;;;
3;Sants-Montjuïc;12;La Marina del Prat Vermell;845;11,4;11,6;12,0;13,5;14,3;15,0;14,7;14,4;13,8;15,1;14,9;15,4;16,4;16,7;17,0;;;;
3;Sants-Montjuïc;13;La Marina de Port;20742;7,7;7,8;8,2;9,3;9,6;10,0;9,7;9,8;9,5;9,9;9,9;10,3;10,7;10,9;11,0;;;;
3;Sants-Montjuïc;14;La Font de la Guatlla;6868;7,6;7,8;8,5;9,7;10,3;10,6;10,6;10,8;10,7;10,9;10,9;11,0;11,4;11,5;11,3;;;;
3;Sants-Montjuïc;15;Hostafrancs;11193;6,2;6,4;6,6;7,6;8,0;8,2;8,1;8,3;8,1;8,2;8,1;8,1;8,3;8,4;8,3;;;;
3;Sants-Montjuïc;16;La Bordeta;12732;6,4;6,6;6,8;7,9;8,2;8,5;8,3;8,5;8,3;8,4;8,3;8,4;8,6;8,7;8,6;;;;
3;Sants-Montjuïc;17;Sants-Badal;16538;5,2;5,3;5,5;6,3;6,7;6,8;6,7;6,9;6,7;6,7;6,6;6,7;6,9;7,0;6,8;;;;
3;Sants-Montjuïc;18;Sants;29727;5,6;5,7;5,9;6,8;7,2;7,3;7,2;7,4;7,2;7,2;7,1;7,2;7,4;7,5;7,4;;;;
4;Les Corts;19;Les Corts;28434;6,0;6,1;6,3;7,2;7,6;7,7;7,5;7,7;7,5;7,5;7,5;7,6;7,8;7,9;7,8;;;;
4;Les Corts;20;La Maternitat i Sant Ramon;14523;5,8;6,0;6,2;7,1;7,5;7,6;7,5;7,7;7,6;7,5;7,4;7,6;7,8;7,8;7,7;;;;
4;Les Corts;21;Pedralbes;7002;2,8;2,9;3,0;3,3;3,5;3,5;3,6;3,7;3,6;3,5;3,6;3,7;3,8;3,9;3,8;;;;
5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;3095;2,9;3,0;3,2;3,6;3,7;3,8;3,8;3,9;3,9;3,8;3,9;3,9;4,1;4,1;4,0;;;;
5;Sarrià-Sant Gervasi;23;Sarrià;15067;2,9;3,0;3,1;3,5;3,7;3,7;3,8;3,8;3,8;3,7;3,8;3,9;4,0;4,1;4,0;;;;
5;Sarrià-Sant Gervasi;24;Las Tres Torres;10010;3,5;3,6;3,8;4,3;4,5;4,6;4,6;4,6;4,6;4,6;4,6;4,7;4,9;4,9;4,8;;;;
5;Sarrià-Sant Gervasi;25;Sant Gervasi-Bonanova;16020;3,7;3,7;3,8;4,4;4,6;4,7;4,7;4,7;4,5;4,5;4,5;4,5;4,6;4,7;4,7;;;;
5;Sarrià-Sant Gervasi;26;Sant Gervasi-Galvany;29947;3,5;3,5;3,6;4,2;4,4;4,5;4,5;4,5;4,5;4,5;4,6;4,7;4,7;4,8;4,7;;;;
5;Sarrià-Sant Gervasi;27;El Putxet i Farró;19519;4,9;4,9;5,3;6,0;6,3;6,4;6,3;6,4;6,3;6,3;6,3;6,4;6,5;6,5;6,4;;;;
6;Gràcia;28;Vallcarca i els Penitents;10174;6,2;6,2;6,7;7,7;7,9;8,1;8,0;8,1;8,0;8,0;8,1;8,1;8,2;8,2;8,0;;;;
6;Gràcia;29;El Coll;5040;5,3;5,2;5,8;6,5;6,7;6,9;6,8;6,9;6,8;6,8;6,9;6,9;6,9;6,9;6,7;;;;
