Nº Borough;Borough;Nº Neighbourhood;Neighbourhood;Población 16-64 años;2020-1;2020-2;2020-3;2020-4;2020-5;2020-6;2020-7;2020-8;2020-9;2020-10;2020-11;2020-12;2021-1;2021-2;2021-3;;;;
0;Barcelona;0;Barcelona;1095455;70109;71205;76682;86541;90923;93114;90923;93114;90923;92018;92018;94209;96400;97495;96400;;;;
1;Ciutat Vella;1;El Raval;36330;3052;3124;3379;4069;4251;4469;4432;4578;4614;4832;4905;5050;5195;5304;5268;;;;
1;Ciutat Vella;2;Barrio Gótico;17931;914;950;1022;1166;1255;1273;1255;1291;1273;1345;1363;1399;1434;1452;1417;;;;
1;Ciutat Vella;3;La Barceloneta;11346;998;1010;1089;1214;1305;1339;1305;1350;1327;1362;1362;1396;1441;1464;1464;;;;
1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;17817;1372;1390;1514;1675;1800;1853;1800;1853;1835;1871;1889;1924;1996;2013;2013;;;;
2;Eixample;5;El Fort Pienc;22474;1169;1169;1281;1461;1573;1618;1573;1618;1573;1618;1618;1641;1686;1686;1663;;;;
2;Eixample;6;Sagrada Familia;35008;1925;1925;2100;2381;2521;2591;2521;2591;2521;2556;2591;2591;2626;2661;2626;;;;
2;Eixample;7;La Derecha del Ensanche;29535;1270;1300;1388;1595;1743;1802;1743;1802;1743;1802;1802;1831;1890;1890;1861;;;;
2;Eixample;8;L'Antiga Esquerra de l'Eixample;29495;1357;1386;1475;1711;1829;1858;1829;1888;1829;1888;1858;1888;1947;1976;1947;;;;
2;Eixample;9;La Nova Esquerra de l'Eixample;38490;2155;2155;2309;2617;2733;2810;2733;2810;2733;2733;2771;2810;2887;2887;2848;;;;
2;Eixample;10;Sant Antoni;26125;1541;1568;1672;1933;2038;2090;2064;2116;2090;2090;2090;2116;2168;2168;2142;;;;
3;Sants-Montjuïc;11;Poble Sec;28752;2070;2128;2300;2645;2818;2904;2904;2961;2933;2990;2990;3019;3105;3134;3105;;;;
3;Sants-Montjuïc;12;La Marina del Prat Vermell;845;96;98;101;114;121;127;124;122;117;128;126;130;139;141;144;;;;
3;Sants-Montjuïc;13;La Marina de Port;20742;1597;1618;1701;1929;1991;2074;2012;2033;1970;2053;2053;2136;2219;2261;2282;;;;
3;Sants-Montjuïc;14;La Font de la Guatlla;6868;522;536;584;666;707;728;728;742;735;749;749;755;783;790;776;;;;
3;Sants-Montjuïc;15;Hostafrancs;11193;694;716;739;851;895;918;907;929;907;918;907;907;929;940;929;;;;
3;Sants-Montjuïc;16;La Bordeta;12732;815;840;866;1006;1044;1082;1057;1082;1057;1069;1057;1069;1095;1108;1095;;;;
3;Sants-Montjuïc;17;Sants-Badal;16538;860;877;910;1042;1108;1125;1108;1141;1108;1108;1092;1108;1141;1158;1125;;;;
3;Sants-Montjuïc;18;Sants;29727;1665;1694;1754;2021;2140;2170;2140;2200;2140;2140;2111;2140;2200;2230;2200;;;;
4;Les Corts;19;Les Corts;28434;1706;1734;1791;2047;2161;2189;2133;2189;2133;2133;2133;2161;2218;2246;2218;;;;
4;Les Corts;20;La Maternitat i Sant Ramon;14523;842;871;900;1031;1089;1104;1089;1118;1104;1089;1075;1104;1133;1133;1118;;;;
4;Les Corts;21;Pedralbes;7002;196;203;210;231;245;245;252;259;252;245;252;259;266;273;266;;;;
5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;3095;90;93;99;111;115;118;118;121;121;118;121;121;127;127;124;;;;
5;Sarrià-Sant Gervasi;23;Sarrià;15067;437;452;467;527;557;557;573;573;573;557;573;588;603;618;603;;;;
5;Sarrià-Sant Gervasi;24;Las Tres Torres;10010;350;360;380;430;450;460;460;460;460;460;460;470;490;490;480;;;;
5;Sarrià-Sant Gervasi;25;Sant Gervasi-Bonanova;16020;593;593;609;705;737;753;753;753;721;721;721;721;737;753;753;;;;
5;Sarrià-Sant Gervasi;26;Sant Gervasi-Galvany;29947;1048;1048;1078;1258;1318;1348;1348;1348;1348;1348;1378;1408;1408;1437;1408;;;;
5;Sarrià-Sant Gervasi;27;El Putxet i Farró;19519;956;956;1035;1171;1230;1249;1230;1249;1230;1230;1230;1249;1269;1269;1249;;;;
6;Gràcia;28;Vallcarca i els Penitents;10174;631;631;682;783;804;824;814;824;814;814;824;824;834;834;814;;;;
6;Gràcia;29;El Coll;5040;267;262;292;328;338;348;343;348;343;343;348;348;348;348;338;;;;
6;Gràcia;30;La Salut;8313;532;532;582;657;690;698;690;698;682;682;665;682;690;698;690;;;;
6;Gràcia;31;Vila de Gràcia;35144;1968;1968;2109;2460;2601;2706;2671;2706;2601;2601;2566;2636;2671;2671;2636;;;;
6;Gràcia;32;Camp d'en Grassot i Gràcia Nova;22813;1278;1278;1392;1574;1665;1688;1665;1688;1643;1665;1665;1665;1688;1711;1688;;;;
7;Horta - Guinardó;33;Baix Guinardó;16655;999;983;1083;1216;1282;1299;1266;1299;1266;1282;1282;1282;1299;1316;1299;;;;
7;Horta - Guinardó;34;Can Baró;6087;383;383;420;469;493;499;493;499;487;487;475;487;493;499;499;;;;
7;Horta - Guinardó;35;El Guinardó;24437;1540;1515;1613;1833;1955;1979;1955;1979;1955;1955;1931;1979;2053;2077;2053;;;;
7;Horta - Guinardó;36;La Font d'en Fargues;5844;479;479;508;573;596;608;596;602;596;596;584;602;625;631;625;;;;
7;Horta - Guinardó;37;El Carmelo;20925;1632;1632;1737;1946;2051;2093;2051;2051;2030;2051;1988;2051;2134;2155;2134;;;;
7;Horta - Guinardó;38;La Teixonera;7904;498;506;530;609;640;648;640;648;648;640;656;664;688;696;672;;;;
7;Horta - Guinardó;39;Sant Genís dels Agudells;4682;300;309;323;370;393;393;389;398;398;393;403;412;421;426;412;;;;
7;Horta - Guinardó;40;Montbau;3221;216;222;232;267;283;283;280;287;287;283;293;296;306;309;300;;;;
7;Horta - Guinardó;41;La Vall d'Hebrón;3541;230;237;248;283;301;305;301;305;305;305;312;315;326;329;319;;;;
7;Horta - Guinardó;42;La Clota;497;16;17;17;20;21;21;21;21;21;21;22;22;23;23;22;;;;
7;Horta - Guinardó;43;Horta;17771;1351;1386;1439;1617;1706;1759;1706;1724;1706;1742;1706;1759;1813;1848;1830;;;;
