NºBorough;Borough;Nº Neighbourhood;Neighbourhood;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
1;Ciutat Vella;1;El Raval;64.7;62.6;62;62;65;65.4;60.3;65.9;75.8;74.6;71.2
1;Ciutat Vella;2;Barrio Gótico;86.5;80.8;94.3;92.3;98.8;99.7;103.6;98.5;108.5;110.5;106.1
1;Ciutat Vella;3;La Barceloneta;66.7;65.9;64.4;72.6;73.1;69;82.1;84.5;76.6;84.8;79.6
1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;80.2;81.8;88.8;91.2;86.1;89.3;91.2;92.5;96.4;97.8;99.4
2;Eixample;5;El Fort Pienc;107.9;108.3;109.1;108.5;97.9;98;99;104.5;104.8;105;106.5
2;Eixample;6;Sagrada Familia;101.8;100.7;98.4;97.3;96.1;95.3;97.5;92.4;95.8;95.9;101.8
2;Eixample;7;La Derecha del Ensanche;137.6;138;143.6;144.1;151.7;150.1;165.7;165.3;165.8;170;175.9
2;Eixample;8;L'Antiga Esquerra de l'Eixample;126.5;122.8;122.6;125.9;121.3;119.2;125.1;127.8;128.9;139.2;137.2
2;Eixample;9;La Nova Esquerra de l'Eixample;116.9;116.6;114.3;115.2;107.7;105.9;108.6;109.1;103.8;105.3;110.2
2;Eixample;10;Sant Antoni;103.8;102.9;99.5;95.4;95.9;94.8;102.5;97.8;98.6;104;104.2
3;Sants-Montjuïc;11;Poble Sec;73.3;70.8;68.7;66.6;73;80.7;71;66.3;74.3;76.1;82.2
3;Sants-Montjuïc;12;La Marina del Prat Vermell;80.4;77.2;74.2;61.9;53;45.9;59.1;39.4;36.9;49.7;40
3;Sants-Montjuïc;13;La Marina de Port;80.2;77.4;75.6;74.4;70.8;67.4;70.9;72;70.4;68.3;69.3
3;Sants-Montjuïc;14;La Font de la Guatlla;90.4;91.7;87.2;82.4;74.6;69.7;77.8;77.6;83.2;84.9;82.9
3;Sants-Montjuïc;15;Hostafrancs;82.7;82.5;81.7;77.9;76.1;72.1;77.2;76.8;82.2;84.6;99
3;Sants-Montjuïc;16;La Bordeta;81.9;80.8;77.4;73.4;71.1;72.9;71.4;76;74.3;73.6;79
3;Sants-Montjuïc;17;Sants-Badal;85.9;84.5;81.4;78.5;77.1;74.3;76.6;79.6;77;74.5;81
3;Sants-Montjuïc;18;Sants;89.5;87.1;85.3;84.4;86.4;85.2;82.6;85.8;88.2;92.3;99
4;Les Corts;19;Les Corts;130.4;131.7;128.9;131.7;126.9;129.6;124.8;125.4;124.5;119.9;120
4;Les Corts;20;La Maternitat i Sant Ramon;127.9;129.8;128.1;125.3;110.6;109.3;118.7;112.6;109.9;114.3;114.2
4;Les Corts;21;Pedralbes;193.6;194.7;198.3;208.4;246;240.7;243.9;251.7;250.5;242.4;248.8
5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;146.4;165.6;172.2;161.9;165.9;177.5;177.8;162.8;151.7;130.8;144.1
